studyid,lead_author,year,harmonized_disease_name,study_disease_name,notes
1,Prados-Torres,2012,multiple sclerosis,Multiple sclerosis,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,osteoarthritis,NA,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,osteoporosis,Osteoporosis,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,parkinsons,Parkinson's disease,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,rheumatoid arthritis,NA,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,schizophrenia,Schizophrenia and affective psychosis,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,stroke,Cerebrovascular disease,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,"Anxiety, neuroses",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Arthropathy,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Behaviour problems,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Cervical pain syndromes,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Chronic liver disease,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,"Deafness, hearing loss",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Depression,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Disorders of lipid metabolism,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Diverticular disease of colon,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Generalised atherosclerosis,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Glaucoma,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Low back pain,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Obesity,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,"Peripheral neuropathy, neuritis",ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Prostatic hypertrophy,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Psoriasis,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Substance use,ACG EDCs (chronic diseases defiend from Salisbury list)
1,Prados-Torres,2012,NA,Thyroid disease,ACG EDCs (chronic diseases defiend from Salisbury list)
2,Aubert,2019,asthma,NA,HCUP groups
2,Aubert,2019,cancer,Solid Malignancy; Haemotological malignancy,HCUP groups
2,Aubert,2019,chronic kidney disease,Chronic kidney disease,HCUP groups
2,Aubert,2019,COPD,COPD and bronchiectasis,HCUP groups
2,Aubert,2019,dementia incl. alzheimers,NA,HCUP groups
2,Aubert,2019,diabetes mellitus,NA,HCUP groups
2,Aubert,2019,epilepsy,Epilepsy – convulsions,HCUP groups
2,Aubert,2019,gout,NA,HCUP groups
2,Aubert,2019,heart failure,NA,HCUP groups
2,Aubert,2019,HIV/AIDS,NA,HCUP groups
2,Aubert,2019,hypertension,NA,HCUP groups
2,Aubert,2019,ischemic heart disease,Chronic heart disease,HCUP groups
2,Aubert,2019,mood and anxiety disorders,Mood disorders; Anxiety disorders,HCUP groups
2,Aubert,2019,multiple sclerosis,NA,HCUP groups
2,Aubert,2019,osteoarthritis,Arthropathy and arthritis,HCUP groups
2,Aubert,2019,osteoporosis,NA,HCUP groups
2,Aubert,2019,parkinsons,NA,HCUP groups
2,Aubert,2019,rheumatoid arthritis,NA,HCUP groups
2,Aubert,2019,schizophrenia,NA,HCUP groups
2,Aubert,2019,stroke,Cerebrovascular disease,HCUP groups
2,Aubert,2019,NA,Anxiety disorders,HCUP groups
2,Aubert,2019,NA,Diseases of white blood cells,HCUP groups
2,Aubert,2019,NA,Mood disorders (depression?),HCUP groups
2,Aubert,2019,NA,"Nephritis, nephrosis and renal sclerosis",HCUP groups
2,Aubert,2019,NA,Other nervous system disorders,HCUP groups
2,Aubert,2019,NA,Paralysis,HCUP groups
2,Aubert,2019,NA,Peripheral and visceral atherosclerosis,HCUP groups
2,Aubert,2019,NA,Pulmonary heart disease,HCUP groups
2,Aubert,2019,NA,Substance-related disorders,HCUP groups
3,Egan,2019,asthma,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,cancer,"Cancer (Lymphoma, metastatic cancer and solid tumors without metastasis)","Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,chronic kidney disease,Chronic Kidney Disease,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,COPD,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,dementia incl. alzheimers,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,diabetes mellitus,Diabetes,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,epilepsy,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,gout,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,heart failure,Congestive Heart Failure,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,HIV/AIDS,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,hypertension,Hypertension (complicated and uncomplicated hypertension),"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,ischemic heart disease,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,mood and anxiety disorders,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,multiple sclerosis,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,osteoarthritis,Osteoarthritis,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,osteoporosis,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,parkinsons,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,rheumatoid arthritis,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,schizophrenia,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,stroke,NA,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,"Behavioral Health (depression, psychosis, drug and alchohol abuse)","Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,"Cardiovascular Disease (myocardial infarction; cerebrovascular disease, artherosclerosis and peripheral vascular disease)","Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,Chronic pulmonary disease,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,Lipid Metabolism Disorders,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,"Neurological conditions (inclds dementia, paralysis (most from CVD) and other neurological conditions like CP or hydrocephalus)","Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
3,Egan,2019,NA,Obesity,"Charlson/Exlihauser; excluded from meta-analysis- no assignment of diseases to clusters, just reported prevalence of diseases in each cluster. I reported top 3 most prevalent diseases per cluster"
4,Lu,2023,asthma,asthma,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,cancer,cancer,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,chronic kidney disease,chronic kidney disease,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,COPD,COPD,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,dementia incl. alzheimers,dementia incl. alzheimers,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,diabetes mellitus,diabetes mellitus,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,epilepsy,epilepsy,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,gout,NA,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,heart failure,heart failure,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,HIV/AIDS,HIV/AIDS,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,hypertension,hypertension,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,ischemic heart disease,ischemic heart disease,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,mood and anxiety disorders,mood and anxiety disorders,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,multiple sclerosis,multiple sclerosis,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,osteoarthritis,NA,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,osteoporosis,NA,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,parkinsons,parkinsons,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,rheumatoid arthritis,rheumatoid arthritis,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,schizophrenia,schizophrenia,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,stroke,stroke,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Alcohol abuse,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Cardiac arrhythmias,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Chronic pulmonary disease,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Depression,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Drug abuse,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Obesity,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,"Peripheral vascular disorders,","ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Psychosis,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Pulmonary circulation disorders,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Smoking,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
4,Lu,2023,NA,Valvular disease,"ICD codes mapped onto our CDSS-based definitions, but they also list elizhauser conditions in their study methods (though cluster results are by ICD code, not elixhauser categories)"
5,Roso-Llorach,2022,asthma,Asthma,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,cancer,Hematological neoplasms; ﻿solid neoplasms,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,chronic kidney disease,Chronic kidney diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,COPD,"COPD, Emphysema, Chronic Bronchitis","ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,dementia incl. alzheimers,Dementia,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,diabetes mellitus,Diabetes,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,epilepsy,epilepsy,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,gout,NA,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,heart failure,heart failure,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,HIV/AIDS,NA,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,hypertension,Hypertension,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,ischemic heart disease,Ischemic heart disease,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,mood and anxiety disorders,Depression and mood diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,multiple sclerosis,Multiple Sclerosis,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,osteoarthritis,Osteoarthritis and other degenerative joint disease,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,osteoporosis,Osteoporosis,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,parkinsons,Parkinson and parkinsonism,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,rheumatoid arthritis,NA,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,schizophrenia,﻿schizophrenia and delusional diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,stroke,cerebrovascular disease,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Anemia,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Atrial fibrillation,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Autoimmune diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Bradycardias and conduction diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Chronic infectious diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,"Chronic pancreas, biliary tract and gallbladder diseases","ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Colitis and related diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,"Esophagus, stomach and duodenum diseases","ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Glaucoma,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Hearing impairment,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Hypercholesterolemia,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Inflammatory arthropathies,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Inflammatory bowel diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Migraine and facial pain syndromes,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Obesity,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Other psychiatric and behavioral diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Peripheral vascular disease,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Prostate diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Thyroid diseases,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
5,Roso-Llorach,2022,NA,Visual impairment,"ICD-10 codes grouped into 60 categories, according to ﻿Calderón-Larrañaga, 2016"
6,Baré,2021,asthma,Asthma,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,cancer,"Neoplasia (including leukaemia, lymphoma, metastatic solid tumour)","Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,chronic kidney disease,Moderate or severe renal disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,COPD,Chronic obstructive pulmonary disease (COPD),"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,dementia incl. alzheimers,Dementia,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,diabetes mellitus,"Diabetes with complication, Diabetes without complication","Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,epilepsy,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,gout,Gout,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,heart failure,Heart failure,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,HIV/AIDS,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,hypertension,Hypertension,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,ischemic heart disease,Ischaemic heart disease without infarction; Myocardial infarction,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,mood and anxiety disorders,Depression or Anxiety,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,multiple sclerosis,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,osteoarthritis,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,osteoporosis,Osteoporosis,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,parkinsons,Parkinson's disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,rheumatoid arthritis,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,schizophrenia,NA,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,stroke,Cerebrovascular disease (including hemiplegia),"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Acute confusional syndrome/delirium,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Amputation,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Anaemia,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Cardiac arrhythmia,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Chronic gastritis or gastrooesophageal reflux,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Chronic pain,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Chronic thyroid disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Cognitive/Intellectual impairment,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Constipation,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Degenerative arthropathy,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Drug-related conditions,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Dyslipidaemia,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Dysphagia,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Frailty,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Gallstones,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Haematologic disorders,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Immobility,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Incontinence (Urinary/faecal),"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Inflammatory osteoarticular disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Instability/falls,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Malnutrition,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Mild liver disease (including chronic hepatitis B or C),"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Moderate or severe liver disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Neurologic disorder of the CNS,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Non-ischaemic heart disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Obesity,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
6,Baré,2021,NA,Peptic ulcer disease,"Diseases from clinical charts. Select list of chronic conditions, defined by physician teams."
