studyid,lead_author,year,category,method,subgroup_num,subgroup_name,subgroup_sex,subgroup_age_low,subgroup_age_high,cluster_name,asthma,cancer,CKD,COPD,dementia,DM,epilepsy,gout,HF,HIV,HTN,IHD,MAD,MS,OA,OP,PD,RA,SCZ,stroke,risk_of_bias_overall,age_bin,age_bin_2
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,12_HLP,NA,0,0,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,2_CKD,NA,0,1,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,3_Neuro,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,4_CA,NA,1,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,5_CVD,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,6_CPD,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,7_DM,NA,0,0,NA,NA,1,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,8_BH,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
3,Egan,2019,cluster-based,HCA,1,all,Both,27,NA,9_Obes,NA,0,0,NA,NA,0,NA,NA,0,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,1,0,1,1,1,1,1,0,NA,1,1,1,1,0,1,NA,NA,1,1,0,1,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,2,0,1,1,1,1,1,1,NA,0,0,1,0,1,1,NA,NA,1,1,0,1,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,3,1,1,1,1,1,1,0,NA,1,0,0,0,0,0,NA,NA,1,1,0,1,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,4,1,1,1,0,1,1,1,NA,0,0,0,0,1,0,NA,NA,1,0,1,0,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,5,0,1,0,1,0,1,0,NA,0,0,0,0,0,0,NA,NA,1,1,0,1,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
4,Lu,2023,cluster-based,Louvain,1,all,Both,0,NA,6,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,0,0,0,0,Very High Risk of Bias,all ages,"All ages
(0 - 100+)"
5,Roso-Llorach,2022,factor-based,HMM,1,sexagenerians,Both,60,69,Cardio-metabolic,0,0,0,1,0,1,0,NA,1,NA,0,1,0,0,0,0,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,1,sexagenerians,Both,60,69,Cardiovascular and anemia,0,0,1,1,0,0,0,NA,1,NA,0,0,0,0,0,1,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,1,sexagenerians,Both,60,69,Psychiatric-endocrine and sensorial,0,0,0,0,0,0,0,NA,0,NA,0,0,1,0,1,1,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,1,sexagenerians,Both,60,69,Unspecific,0,1,1,0,0,1,0,NA,0,NA,1,0,0,0,1,0,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,2,septugenerians,Both,70,79,Cardiovascular and diabetes,0,0,0,1,0,1,0,NA,1,NA,0,1,0,0,0,0,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,2,septugenerians,Both,70,79,Neuro-psychiatric and sensorial,0,0,1,0,1,0,0,NA,0,NA,1,0,1,0,1,0,1,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,2,septugenerians,Both,70,79,Neuro-vascular and skin-sensorial,1,0,0,0,1,0,0,NA,0,NA,0,0,0,0,0,0,1,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,2,septugenerians,Both,70,79,Unspecific,1,1,1,1,0,0,0,NA,0,NA,1,0,0,0,1,0,0,NA,NA,0,Low Risk of Bias,60-79,60+
5,Roso-Llorach,2022,factor-based,HMM,3,octogenerians,Both,80,NA,Cardio-respiratory and Neurological,1,1,0,1,0,1,0,NA,1,NA,0,0,1,0,0,0,1,NA,NA,1,Low Risk of Bias,80+,60+
5,Roso-Llorach,2022,factor-based,HMM,3,octogenerians,Both,80,NA,Neuro-sensorial,0,0,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,1,NA,NA,0,Low Risk of Bias,80+,60+
5,Roso-Llorach,2022,factor-based,HMM,3,octogenerians,Both,80,NA,Respiratory-circulatory and skin,1,0,0,1,0,0,0,NA,1,NA,0,0,0,0,0,0,1,NA,NA,0,Low Risk of Bias,80+,60+
5,Roso-Llorach,2022,factor-based,HMM,3,octogenerians,Both,80,NA,Unspecific,0,1,1,0,1,1,0,NA,0,NA,1,0,0,0,1,0,0,NA,NA,1,Low Risk of Bias,80+,60+
6,Baré,2021,cluster-based,fuzzy c-means,1,all,Both,65,NA,1,1,0,0,0,0,0,NA,0,0,NA,0,0,1,NA,NA,1,0,NA,NA,0,Some Concerns,60+,60+
6,Baré,2021,cluster-based,fuzzy c-means,1,all,Both,65,NA,2,0,0,0,0,1,0,NA,0,0,NA,0,0,0,NA,NA,0,0,NA,NA,1,Some Concerns,60+,60+
6,Baré,2021,cluster-based,fuzzy c-means,1,all,Both,65,NA,3,0,1,1,0,1,0,NA,1,0,NA,1,0,0,NA,NA,0,0,NA,NA,1,Some Concerns,60+,60+
6,Baré,2021,cluster-based,fuzzy c-means,1,all,Both,65,NA,4,0,1,0,1,0,0,NA,0,1,NA,0,0,0,NA,NA,0,0,NA,NA,0,Some Concerns,60+,60+
7,Bisquera,2021,factor-based,EFA,1,2005 - 2010 cohort,Both,18,NA,factor1,0,1,1,0,1,1,0,NA,1,0,1,1,1,0,1,1,0,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,1,2005 - 2010 cohort,Both,18,NA,factor2,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,1,2005 - 2010 cohort,Both,18,NA,factor3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,1,2005 - 2010 cohort,Both,18,NA,factor4,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,2,2011 - 2015 cohort,Both,18,NA,factor1,0,1,1,0,1,1,0,NA,1,0,1,1,0,0,1,1,0,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,2,2011 - 2015 cohort,Both,18,NA,factor2,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,2,2011 - 2015 cohort,Both,18,NA,factor3,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,2,2011 - 2015 cohort,Both,18,NA,factor4,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,2,2011 - 2015 cohort,Both,18,NA,factor5,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,3,2016 - 2020 cohort,Both,18,NA,factor1,0,1,1,0,1,1,0,NA,1,0,1,1,0,0,1,1,0,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,3,2016 - 2020 cohort,Both,18,NA,factor2,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,3,2016 - 2020 cohort,Both,18,NA,factor3,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,factor-based,EFA,3,2016 - 2020 cohort,Both,18,NA,factor4,0,0,0,0,0,0,0,NA,0,0,0,0,1,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,1,2005 - 2010 cohort,Both,18,NA,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,1,2005 - 2010 cohort,Both,18,NA,2,0,0,0,0,1,0,1,NA,0,0,0,0,0,0,0,0,1,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,1,2005 - 2010 cohort,Both,18,NA,3,1,1,1,1,0,1,0,NA,1,0,1,1,1,1,1,1,0,1,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,2,2011 - 2015 cohort,Both,18,NA,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,2,2011 - 2015 cohort,Both,18,NA,2,0,0,0,1,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,2,2011 - 2015 cohort,Both,18,NA,3,1,1,1,0,0,1,1,NA,0,0,1,0,1,1,1,0,0,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,2,2011 - 2015 cohort,Both,18,NA,4,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,3,2016 - 2020 cohort,Both,18,NA,1,0,0,0,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,3,2016 - 2020 cohort,Both,18,NA,2,0,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,3,2016 - 2020 cohort,Both,18,NA,3,0,0,1,1,0,0,0,NA,1,0,0,1,0,0,0,0,0,0,NA,1,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,3,2016 - 2020 cohort,Both,18,NA,4,1,1,0,0,0,1,0,NA,0,0,1,0,1,1,1,0,0,0,NA,0,Some Concerns,16+,"Adults
(16+)"
7,Bisquera,2021,cluster-based,HCA,3,2016 - 2020 cohort,Both,18,NA,5,0,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,1,1,1,NA,0,Some Concerns,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,1,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,3,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,4,NA,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,5,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,6,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,7,NA,NA,NA,0,NA,0,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,8,NA,NA,NA,0,NA,1,NA,NA,NA,NA,1,1,0,NA,0,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
8,Hajat,2021,cluster-based,k-means,1,all,Both,18,NA,10,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,0,1,NA,1,NA,NA,NA,NA,NA,High Risk of Bias,16+,"Adults
(16+)"
9,Van Cleave,2016,factor-based,LCA,1,all,Both,60,NA,All Other,NA,0,0,NA,1,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,Some Concerns,60+,60+
9,Van Cleave,2016,factor-based,LCA,1,all,Both,60,NA,Cardiopulmonary,NA,0,1,NA,1,0,NA,NA,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,0,Some Concerns,60+,60+
9,Van Cleave,2016,factor-based,LCA,1,all,Both,60,NA,Cerebrovascular,NA,1,0,NA,0,1,NA,NA,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,1,Some Concerns,60+,60+
10,Zhu,2020,factor-based,LCA,1,18-44,Both,18,44,d1,1,0,0,0,0,0,NA,NA,0,NA,0,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,0-39,0-39
10,Zhu,2020,factor-based,LCA,1,18-44,Both,18,44,d2,0,0,0,0,0,0,NA,NA,0,NA,0,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,0-39,0-39
10,Zhu,2020,factor-based,LCA,1,18-44,Both,18,44,d3,0,0,0,0,0,0,NA,NA,0,NA,1,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,0-39,0-39
10,Zhu,2020,factor-based,LCA,2,45-64,Both,45,64,d1,1,0,0,0,0,0,NA,NA,0,NA,1,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,40-59,40-59
10,Zhu,2020,factor-based,LCA,2,45-64,Both,45,64,d2,0,0,0,1,0,1,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,Low Risk of Bias,40-59,40-59
10,Zhu,2020,factor-based,LCA,2,45-64,Both,45,64,d3,0,0,0,0,0,0,NA,NA,0,NA,0,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,40-59,40-59
10,Zhu,2020,factor-based,LCA,3,65-84,Both,65,84,d1,0,0,0,1,0,0,NA,NA,0,NA,1,1,1,0,NA,NA,0,0,0,0,Low Risk of Bias,60+,60+
10,Zhu,2020,factor-based,LCA,3,65-84,Both,65,84,d2,1,0,0,0,0,1,NA,NA,0,NA,0,1,0,0,NA,NA,0,0,0,0,Low Risk of Bias,60+,60+
10,Zhu,2020,factor-based,LCA,3,65-84,Both,65,84,d3,0,0,1,0,0,1,NA,NA,0,NA,0,0,1,0,NA,NA,0,0,0,0,Low Risk of Bias,60+,60+
10,Zhu,2020,factor-based,LCA,4,85+,Both,85,NA,d1,1,0,0,0,0,0,NA,NA,1,NA,1,0,0,0,NA,NA,0,0,0,0,Low Risk of Bias,80+,60+
10,Zhu,2020,factor-based,LCA,4,85+,Both,86,NA,d2,0,0,0,1,0,0,NA,NA,0,NA,0,1,1,0,NA,NA,0,0,0,0,Low Risk of Bias,80+,60+
10,Zhu,2020,factor-based,LCA,4,85+,Both,87,NA,d3,0,0,0,0,0,1,NA,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,Low Risk of Bias,80+,60+
11,Schafer,2010,factor-based,EFA,1,F,F,65,NA,ADS/P,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,1,NA,NA,1,0,1,NA,0,Low Risk of Bias,60+,60+
11,Schafer,2010,factor-based,EFA,1,F,F,65,NA,CMD,NA,0,NA,NA,0,1,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,0,Low Risk of Bias,60+,60+
11,Schafer,2010,factor-based,EFA,1,F,F,65,NA,NPS,NA,0,NA,NA,1,0,NA,NA,NA,NA,0,1,1,NA,NA,0,1,0,NA,1,Low Risk of Bias,60+,60+
11,Schafer,2010,factor-based,EFA,2,M,M,65,NA,ADS/P,NA,0,NA,NA,0,0,NA,NA,NA,NA,0,0,1,NA,NA,1,0,0,NA,0,Low Risk of Bias,60+,60+
11,Schafer,2010,factor-based,EFA,2,M,M,65,NA,CMD,NA,0,NA,NA,0,1,NA,NA,NA,NA,1,1,0,NA,NA,0,0,0,NA,1,Low Risk of Bias,60+,60+
11,Schafer,2010,factor-based,EFA,2,M,M,65,NA,NPS,NA,0,NA,NA,1,0,NA,NA,NA,NA,0,0,1,NA,NA,0,1,0,NA,1,Low Risk of Bias,60+,60+
12,Roso-Llorach,2018,factor-based,EFA,1,F EFA,F,45,64,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,1,F EFA,F,45,64,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,1,F EFA,F,45,64,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,2,M EFA,M,45,64,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,2,M EFA,M,45,64,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,1,1,0,NA,0,NA,NA,NA,0,1,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,2,M EFA,M,45,64,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,1,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,2,M EFA,M,45,64,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,factor-based,EFA,2,M EFA,M,45,64,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,1,F HCA,F,45,64,1,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,1,F HCA,F,45,64,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,1,F HCA,F,45,64,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,2,M HCA,M,45,64,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,0,0,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,2,M HCA,M,45,64,2,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,1,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,2,M HCA,M,45,64,3,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,0,NA,1,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,2,M HCA,M,45,64,4,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,0,1,NA,0,NA,NA,NA,0,0,Low Risk of Bias,40-59,40-59
12,Roso-Llorach,2018,cluster-based,HCA,2,M HCA,M,45,64,5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,1,0,NA,0,NA,NA,NA,0,1,Low Risk of Bias,40-59,40-59
13,Moran,2017,cluster-based,HCA,1,all,Both,18,NA,1,0,0,0,0,0,0,NA,NA,0,0,1,0,0,NA,NA,NA,NA,0,NA,0,High Risk of Bias,16+,"Adults
(16+)"
13,Moran,2017,cluster-based,HCA,1,all,Both,18,NA,2,0,1,0,1,0,1,NA,NA,0,0,1,0,1,NA,NA,NA,NA,0,NA,1,High Risk of Bias,16+,"Adults
(16+)"
13,Moran,2017,cluster-based,HCA,1,all,Both,18,NA,3,1,0,0,1,0,1,NA,NA,0,0,1,0,1,NA,NA,NA,NA,0,NA,0,High Risk of Bias,16+,"Adults
(16+)"
13,Moran,2017,cluster-based,HCA,1,all,Both,18,NA,4,0,0,1,1,0,1,NA,NA,1,0,1,1,1,NA,NA,NA,NA,0,NA,1,High Risk of Bias,16+,"Adults
(16+)"
14,Nicolet,2022,cluster-based,HDBSCAN,1,all,Both,50,NA,2,NA,0,NA,NA,NA,0,0,NA,NA,0,0,0,NA,NA,NA,NA,1,NA,NA,NA,Very High Risk of Bias,40+,"Middle-aged
and older
(40+)"
